run_id,event_id,session_no,committee_elapsed,committee_elapsed_seconds,session_elapsed,world_datetime,actor_id,target_ids,channel,visibility,dais_knows,event_text,source_event_ids,knowledge_source_ids,causal_parent_ids,directive_id,causal_importance,love_delta,money_delta,control_delta,resource_changes,relationship_changes,promise_changes,invocation_id
baseline-40917-work-rerun,E0001,1,00:00:00,0,00:00:00,2026-09-05T00:00:00,WORLD,,crisis_update,public,true,"M3 THE BLACKOUT: Jordan Lee's platform removes ESPN, ABC, and Disney entertainment channels. A championship window closes in 105 minutes; the direct product cannot absorb all displaced households.",,,,,high,0,0,0,,,,
baseline-40917-work-rerun,E0002,1,00:02:30,150,00:02:30,2026-09-06T06:00:00,JOSH,,floor,public,true,"Three priorities: restore the event audience, preserve a direct customer path, and cap cash leakage. Every proposal must name what it displaces.",,,,,medium,0,0,0,,,enterprise proposals must name displacement,I001
baseline-40917-work-rerun,E0003,1,00:05:10,310,00:05:10,2026-09-07T14:00:00,HUGH,JOSH,paper_note,private,false,"Scenario model to Josh: a full holdout costs roughly $18m per simulated week in rebates and lost ads; migration capacity, not liquidity, is binding.",,,,,medium,0,0,0,scenario model:Ready,,,I002
baseline-40917-work-rerun,E0004,1,00:07:50,470,00:07:50,2026-09-08T22:00:00,JORDAN,,floor,public,true,"Full restoration requires a 7% fee reduction, an ESPN tile inside our product, and twenty-four months of customer-data custody. We can tolerate the blackout.",,,,,high,0,0,0,,,,I003
baseline-40917-work-rerun,E0005,1,00:10:50,650,00:10:50,2026-09-10T10:00:00,MARA,,floor,public,true,"If the direct alternative cannot carry the audience, what exactly has management funded instead? Name the project you would stop today.",,,,,medium,0,0,0,,Mara challenges Josh publicly,,
baseline-40917-work-rerun,E0006,1,00:14:30,870,00:14:30,2026-09-12T06:00:00,GORMAN,,floor,public,true,"Board confidence will move on three facts: an authorized walk-away point, an executable alternative, and one accountable owner. The board will not negotiate the contract.",,,,,medium,0,0,0,,,board evidence standard declared,
baseline-40917-work-rerun,E0007,1,00:18:00,1080,00:18:00,2026-09-14T00:00:00,JOSH,"HUGH,HORACIO",paper_note,private,false,"Give me the latest tolerable settlement, the migration ceiling, and what must stop to create capacity.",,,,,medium,0,0,0,,,Josh requests executable limits,
baseline-40917-work-rerun,E0008,1,00:22:00,1320,00:22:00,2026-09-16T00:00:00,NPC_TECH,"HUGH,JOSH",paper_note,private,false,"Direct migration can accept 480,000 households before authentication failures rise sharply. A six-week expansion requires the interactive prototype team.",,,,,medium,0,0,0,interactive prototype team:Ready,,,
baseline-40917-work-rerun,E0009,1,00:26:00,1560,00:26:00,2026-09-18T00:00:00,HUGH,,floor,public,true,Our outside option is not mass migration. It is a capped acquisition lane plus a negotiated bridge. Expanding the lane displaces the interactive prototype for six weeks.,,,,,high,0,0,0,,,,I004
baseline-40917-work-rerun,E0010,1,00:30:10,1810,00:30:10,2026-09-20T02:00:00,HORACIO,,floor,public,true,"There are three lawful paths: full settlement, a time-boxed sports bridge without data transfer, or walk-away plus capped migration. Each needs a named authority, carrier, and clock.",,,,,medium,0,0,0,,,,I005
