run_id,event_id,session_no,committee_elapsed,committee_elapsed_seconds,session_elapsed,world_datetime,actor_id,target_ids,channel,visibility,dais_knows,event_text,source_event_ids,knowledge_source_ids,causal_parent_ids,directive_id,causal_importance,love_delta,money_delta,control_delta,resource_changes,relationship_changes,promise_changes,invocation_id
baseline-40917-work-rerun,E0015,1,00:51:10,3070,00:51:10,2026-09-30T14:00:00,JOSH,,directive_submission,public,true,"D1 submitted: open a capped direct-migration lane for 480,000 households; Tech owns delivery in 25 minutes using existing authentication capacity; Hugh funds acquisition; success is stable login below 2% failure; the interactive prototype is paused six weeks.",,,,D1,high,0,0,0,interactive prototype team:Committed; acquisition reserve:Committed,,Josh owns migration ceiling,
baseline-40917-work-rerun,E0016,1,00:55:50,3350,00:55:50,2026-10-02T22:00:00,DAIS,,directive_ruling,public,true,"D1 approved for implementation. Authority, cooperation, and clock clear; capacity is explicitly capped. Public messaging may not imply universal access.",,,E0015,D1,medium,0,0,0,,,,
baseline-40917-work-rerun,E0017,1,01:01:00,3660,01:01:00,2026-10-05T12:24:00,WORLD,,implementation_update,public,true,"The migration lane opens. Demand reaches the ceiling in nine minutes; 11% of attempted households receive a queue screen, but successful logins remain stable.",,,E0016,D1,high,-2,-1,1,migration capacity:Exhausted,,,
baseline-40917-work-rerun,E0027,1,01:45:20,6320,01:45:20,2026-10-28T10:08:00,HORACIO,,directive_submission,public,true,D2 submitted: authorize a 96-hour sports-only bridge; Horacio owns documentation by T-18; use $4.5m make-whole and expiring auth tokens; Jordan and the league are required; success is 82% reach before T-5; downside is renewal leverage and cash cost.,,,,D2,high,0,0,0,settlement authority:Committed,,,
baseline-40917-work-rerun,E0028,1,01:49:00,6540,01:49:00,2026-10-30T07:36:00,DAIS,,revision_request,public,true,D2 revision: specify audit-log custody and who confirms the mutual communications freeze.,,,E0027,D2,medium,0,0,0,,,,
baseline-40917-work-rerun,E0029,1,01:52:00,6720,01:52:00,2026-10-31T20:48:00,HORACIO,,directive_revision,public,true,D2 revised: Disney retains audit logs; Jordan attests token deletion; Roeder and Jordan's communications lead confirm the freeze.,,,E0028,D2,medium,0,0,0,,,,
baseline-40917-work-rerun,E0031,1,01:57:20,7040,01:57:20,2026-11-03T14:56:00,DAIS,,directive_ruling,public,true,D2 approved and scheduled. All four gates clear; implementation remains contingent on distributor configuration.,,,E0029,D2,medium,0,0,0,,,,
baseline-40917-work-rerun,E0032,1,01:59:50,7190,01:59:50,2026-11-04T21:56:00,WORLD,,implementation_update,public,true,Sports carriage returns at T-3 minutes and reaches 84% of households. The game is available; entertainment channels remain dark.,,,E0031,D2,high,4,-4,-3,slate contingency:Exhausted; Jordan bridge:Committed,,,
baseline-40917-work-rerun,E0052,2,03:15:20,11720,01:15:20,2026-12-12T22:08:00,JOSH,,directive_submission,public,true,D3 submitted: scale the two franchise releases subject to week-two child-retention gates; Dana owns slate delivery; Hugh releases capacity; success is retention and margin thresholds; downside is near-term overreliance on known IP.,,,,D3,high,0,0,0,,,,
baseline-40917-work-rerun,E0053,2,03:19:00,11940,01:19:00,2026-12-14T19:36:00,DAIS,,revision_request,public,true,D3 revision: name the stop action if the child-retention gate fails and identify what team scales the slate.,,,E0052,D3,medium,0,0,0,,,,
baseline-40917-work-rerun,E0054,2,03:22:40,12160,01:22:40,2026-12-16T17:04:00,JOSH,,directive_revision,public,true,D3 revised: a failed gate cancels the next sequel expansion; the franchise production unit owns delivery after closing current pre-production.,,,E0053,D3,medium,0,0,0,,,,
